행정구역,2010년10월_거주자_총인구수,2010년10월_거주자_연령구간인구수,2010년10월_거주자_0세,2010년10월_거주자_1세,2010년10월_거주자_2세,2010년10월_거주자_3세,2010년10월_거주자_4세,2010년10월_거주자_5세,2010년10월_거주자_6세,2010년10월_거주자_7세,2010년10월_거주자_8세,2010년10월_거주자_9세,2010년10월_거주자_10세,2010년10월_거주자_11세,2010년10월_거주자_12세,2010년10월_거주자_13세,2010년10월_거주자_14세,2010년10월_거주자_15세,2010년10월_거주자_16세,2010년10월_거주자_17세,2010년10월_거주자_18세,2010년10월_거주자_19세,2010년10월_거주자_20세,2010년10월_거주자_21세,2010년10월_거주자_22세,2010년10월_거주자_23세,2010년10월_거주자_24세,2010년10월_거주자_25세,2010년10월_거주자_26세,2010년10월_거주자_27세,2010년10월_거주자_28세,2010년10월_거주자_29세,2010년10월_거주자_30세,2010년10월_거주자_31세,2010년10월_거주자_32세,2010년10월_거주자_33세,2010년10월_거주자_34세,2010년10월_거주자_35세,2010년10월_거주자_36세,2010년10월_거주자_37세,2010년10월_거주자_38세,2010년10월_거주자_39세,2010년10월_거주자_40세,2010년10월_거주자_41세,2010년10월_거주자_42세,2010년10월_거주자_43세,2010년10월_거주자_44세,2010년10월_거주자_45세,2010년10월_거주자_46세,2010년10월_거주자_47세,2010년10월_거주자_48세,2010년10월_거주자_49세,2010년10월_거주자_50세,2010년10월_거주자_51세,2010년10월_거주자_52세,2010년10월_거주자_53세,2010년10월_거주자_54세,2010년10월_거주자_55세,2010년10월_거주자_56세,2010년10월_거주자_57세,2010년10월_거주자_58세,2010년10월_거주자_59세,2010년10월_거주자_60세,2010년10월_거주자_61세,2010년10월_거주자_62세,2010년10월_거주자_63세,2010년10월_거주자_64세,2010년10월_거주자_65세,2010년10월_거주자_66세,2010년10월_거주자_67세,2010년10월_거주자_68세,2010년10월_거주자_69세,2010년10월_거주자_70세,2010년10월_거주자_71세,2010년10월_거주자_72세,2010년10월_거주자_73세,2010년10월_거주자_74세,2010년10월_거주자_75세,2010년10월_거주자_76세,2010년10월_거주자_77세,2010년10월_거주자_78세,2010년10월_거주자_79세,2010년10월_거주자_80세,2010년10월_거주자_81세,2010년10월_거주자_82세,2010년10월_거주자_83세,2010년10월_거주자_84세,2010년10월_거주자_85세,2010년10월_거주자_86세,2010년10월_거주자_87세,2010년10월_거주자_88세,2010년10월_거주자_89세,2010년10월_거주자_90세,2010년10월_거주자_91세,2010년10월_거주자_92세,2010년10월_거주자_93세,2010년10월_거주자_94세,2010년10월_거주자_95세,2010년10월_거주자_96세,2010년10월_거주자_97세,2010년10월_거주자_98세,2010년10월_거주자_99세,2010년10월_거주자_100세 이상
서울특별시 도봉구 (1132000000),"364,466","364,466","2,806","2,751","2,849","3,079","2,674","2,696","3,207","3,118","3,324","3,750","4,231","4,091","4,278","4,744","4,800","4,859","4,964","5,252","5,380","5,122","5,001","4,799","4,841","4,837","5,150","5,220","5,401","6,039","6,240","6,172","6,255","5,726","5,098","5,163","5,123","5,540","6,104","6,366","6,359","6,835","6,592","6,577","6,674","6,028","5,878","6,070","5,921","6,303","6,459","7,064","7,250","6,704","6,394","6,436","5,860","6,160","4,911","4,259","4,660","3,283","3,629","3,636","3,578","3,704","2,786","2,789","2,760","2,853","3,313","2,710","2,433","2,452","2,070","1,900","1,757","1,697","1,433","1,237","1,187",949,948,830,736,608,504,436,368,356,246,192,154,120,95,85,54,38,37,18,15,10,16
서울특별시 노원구 (1135000000),"606,508","606,508","4,775","4,892","5,310","5,393","4,915","5,104","5,682","5,873","6,221","7,166","8,244","7,952","8,528","9,082","9,170","9,636","9,513","9,748","9,671","8,990","8,452","8,089","7,950","7,596","7,791","7,817","7,942","8,963","9,558","9,745","9,996","9,722","8,749","9,140","8,910","9,644","10,436","10,644","11,048","12,155","11,830","11,952","11,780","10,905","10,538","10,765","10,209","10,925","10,801","11,479","11,514","10,317","9,827","9,544","8,678","8,867","7,353","6,395","7,031","4,784","5,392","5,333","5,025","5,148","3,925","3,729","3,895","4,126","4,763","3,813","3,462","3,386","3,159","2,934","2,536","2,650","2,236","2,004","1,825","1,543","1,550","1,357","1,160","1,066",831,777,641,605,521,366,294,203,152,113,88,51,54,33,16,8,32
서울특별시 은평구 (1138000000),"477,189","477,189","3,798","4,034","4,129","4,368","3,979","3,744","4,245","4,300","4,452","4,834","5,431","5,366","5,350","5,666","5,890","5,979","6,120","6,337","6,364","6,173","5,758","5,555","5,532","5,776","5,903","6,229","6,900","7,788","8,518","8,898","9,169","8,470","7,487","8,054","8,017","8,121","8,884","9,049","9,205","9,456","8,761","8,888","8,489","7,764","7,376","7,656","7,145","7,583","7,624","8,443","8,635","7,991","7,484","7,434","6,967","7,393","6,229","5,673","5,963","4,374","4,962","5,167","5,058","5,176","4,033","3,904","3,962","4,148","4,869","3,836","3,454","3,380","2,900","2,766","2,490","2,249","1,852","1,641","1,507","1,204","1,134","1,107",915,777,597,537,440,493,347,256,206,168,106,107,76,55,32,23,13,14,28
서울특별시 서대문구 (1141000000),"320,407","320,407","2,510","2,606","2,497","2,515","2,494","2,382","2,636","2,621","2,676","3,068","3,279","3,289","3,354","3,528","3,818","3,870","4,023","4,075","4,083","4,063","3,877","4,039","4,118","4,484","4,650","5,045","5,241","5,918","6,277","6,198","6,169","5,635","5,049","5,255","5,099","5,204","5,777","5,770","6,032","6,319","5,957","5,847","5,713","5,212","4,951","5,025","4,892","5,037","5,024","5,536","5,622","5,153","4,975","4,826","4,475","4,694","3,833","3,545","3,805","2,809","3,252","3,222","3,220","3,513","2,736","2,714","2,679","2,822","3,479","2,733","2,639","2,570","2,277","2,041","1,908","1,821","1,431","1,204","1,130",867,960,798,695,580,452,400,364,352,292,201,163,110,81,78,36,41,24,23,5,7,13
서울특별시 마포구 (1144000000),"383,807","383,807","3,713","3,563","3,626","3,622","3,242","3,125","3,434","3,407","3,379","3,756","4,024","3,754","3,771","3,949","4,142","4,100","4,156","4,215","4,373","4,309","4,282","4,301","4,558","4,976","5,507","5,988","6,591","7,743","8,386","8,683","8,714","8,364","7,474","7,765","7,519","7,774","8,224","8,062","8,066","8,268","7,588","7,283","6,767","5,928","5,550","5,710","5,336","5,606","5,604","6,134","6,251","5,706","5,334","5,370","4,896","5,338","4,375","3,885","4,262","3,033","3,480","3,620","3,625","3,782","2,945","2,965","3,016","3,067","3,533","2,806","2,590","2,516","2,210","2,152","1,876","1,835","1,477","1,387","1,172",961,892,843,718,629,475,418,365,365,303,223,191,134,109,81,58,26,29,19,17,9,27
서울특별시 양천구 (1147000000),"495,882","495,882","3,333","3,534","3,980","4,087","3,798","3,903","4,605","4,781","4,991","5,966","6,697","6,953","7,637","8,005","8,431","8,579","8,583","8,596","8,359","7,802","7,015","6,579","6,367","6,203","6,479","6,559","6,838","7,566","8,109","8,116","7,974","7,533","6,703","6,972","6,781","7,070","7,987","8,064","8,580","9,550","9,469","10,076","10,003","9,692","9,290","9,812","9,313","9,793","9,463","10,079","9,873","8,935","8,059","7,951","7,229","7,604","6,092","5,411","5,806","4,018","4,448","4,357","4,116","4,075","3,095","2,929","2,874","2,900","3,270","2,553","2,266","2,293","2,015","1,940","1,753","1,683","1,431","1,315","1,213","1,046","1,039",950,839,697,533,476,406,429,349,247,196,142,105,73,58,45,30,24,14,8,17
서울특별시 강서구 (1150000000),"568,490","568,490","5,111","5,239","5,458","5,530","4,960","4,713","5,262","5,239","5,254","5,720","6,365","5,861","6,170","6,528","6,803","7,198","7,329","7,721","8,036","7,633","7,432","7,267","7,409","7,311","7,772","8,284","8,904","10,224","11,358","11,473","11,986","11,292","9,995","10,363","9,967","10,210","11,019","10,784","10,446","10,671","10,077","9,981","9,645","8,654","8,560","8,977","8,434","9,158","9,359","10,608","10,632","9,869","9,235","9,516","8,587","9,175","7,409","6,728","7,189","5,048","5,697","5,717","5,358","5,457","4,063","3,837","3,753","3,664","4,165","3,403","3,091","2,855","2,633","2,454","2,167","2,201","1,820","1,657","1,512","1,263","1,340","1,176","1,034",914,713,653,537,544,435,309,254,183,127,120,79,49,34,35,17,11,21
서울특별시 구로구 (1153000000),"419,709","419,709","4,315","4,221","4,360","4,267","3,868","3,524","3,765","3,640","3,758","4,072","4,375","4,060","4,245","4,393","4,562","4,654","4,946","4,895","5,055","4,922","4,739","4,779","4,988","5,219","5,542","6,020","6,613","7,493","8,690","8,895","9,153","8,880","7,920","8,345","7,996","7,906","8,595","8,307","8,010","8,045","7,408","7,248","6,917","6,461","6,221","6,338","5,933","6,265","6,636","7,311","7,580","6,940","6,592","6,741","6,225","6,730","5,598","5,234","5,553","4,064","4,681","4,650","4,395","4,598","3,327","3,205","3,189","3,241","3,712","2,750","2,448","2,418","2,182","1,875","1,727","1,623","1,336","1,207",986,848,810,774,641,539,431,395,305,331,264,198,159,105,96,60,56,38,23,19,14,9,17
서울특별시 금천구 (1154500000),"241,839","241,839","1,802","1,889","1,873","1,934","1,883","1,826","1,925","1,938","1,932","2,232","2,414","2,482","2,646","2,701","2,867","2,928","3,230","3,193","3,318","3,292","3,035","2,971","2,960","3,126","3,358","3,524","4,023","4,400","4,894","4,667","4,725","4,514","3,963","3,973","3,785","4,046","4,324","4,381","4,233","4,445","4,445","4,436","4,466","4,025","4,137","4,290","3,978","4,235","4,247","4,741","4,808","4,408","3,928","3,873","3,714","3,800","3,285","2,822","3,139","2,317","2,636","2,556","2,470","2,570","1,902","1,935","1,933","1,923","2,248","1,696","1,529","1,496","1,299","1,125","1,032",897,817,755,661,528,501,412,397,314,233,229,176,180,172,110,101,74,60,45,22,13,15,10,8,1,12
서울특별시 영등포구 (1156000000),"400,448","400,448","3,750","3,648","3,913","3,870","3,453","3,218","3,520","3,288","3,347","3,740","3,910","3,749","3,906","4,007","4,063","4,382","4,444","4,614","4,873","4,760","4,367","4,592","4,681","4,955","5,222","5,704","6,352","7,191","8,112","8,347","8,469","8,118","7,430","7,767","7,506","7,580","7,886","7,878","7,801","7,969","7,363","7,317","6,869","6,255","6,000","6,267","5,891","6,140","6,279","7,072","7,276","6,712","6,373","6,493","5,930","6,210","5,225","4,669","5,213","3,791","4,243","4,348","4,188","4,188","3,273","3,222","3,181","3,205","3,672","2,853","2,569","2,626","2,307","2,102","1,953","1,886","1,542","1,324","1,143",947,909,816,693,646,499,460,366,373,260,227,203,132,112,74,50,43,23,19,13,9,22
서울특별시 동작구 (1159000000),"397,692","397,692","3,417","3,488","3,529","3,460","3,126","3,146","3,363","3,248","3,387","3,624","3,804","3,787","3,988","3,937","4,251","4,337","4,557","4,540","4,748","4,845","4,724","4,786","5,120","5,576","6,252","6,687","7,320","8,407","9,139","8,927","9,275","8,486","7,504","7,372","7,297","7,384","7,780","7,379","7,256","7,623","7,156","6,941","6,279","5,738","5,492","5,592","5,353","5,760","5,856","6,516","6,772","6,135","5,999","5,974","5,529","6,071","5,012","4,571","4,937","3,742","4,168","4,308","4,234","4,247","3,421","3,225","3,239","3,376","3,843","2,968","2,661","2,516","2,301","2,091","1,891","1,768","1,521","1,314","1,209",985,902,879,701,624,512,447,392,360,313,236,186,161,104,78,66,47,37,20,10,10,20
서울특별시 관악구 (1162000000),"524,944","524,944","4,132","4,197","4,249","4,228","3,880","3,711","3,896","3,754","3,886","4,149","4,597","4,457","4,628","4,685","4,936","4,931","5,289","5,329","5,671","5,908","5,880","6,294","7,002","8,087","9,367","10,777","12,136","13,983","15,088","14,814","14,322","12,874","11,139","11,063","10,344","10,390","10,610","9,965","9,673","9,870","9,070","8,520","8,102","7,254","6,999","7,303","6,626","7,065","7,383","8,033","8,253","7,736","7,313","7,423","7,175","7,411","6,540","5,753","6,528","4,932","5,497","5,701","5,473","5,611","4,356","4,206","4,199","4,270","4,950","3,815","3,287","3,211","2,772","2,353","2,111","1,974","1,555","1,409","1,271","1,057",996,809,764,701,492,413,377,405,345,239,170,141,110,82,66,42,32,20,14,11,27
서울특별시 서초구 (1165000000),"427,133","427,133","3,674","3,421","3,753","3,740","3,415","3,394","3,920","3,870","3,916","4,294","4,924","4,998","5,381","5,573","5,775","6,045","5,964","5,894","6,021","5,752","5,521","5,586","5,521","5,607","5,939","6,260","6,726","7,867","8,572","8,667","8,837","8,359","7,368","7,624","7,228","7,175","7,654","7,621","8,095","8,406","8,234","8,266","7,800","7,256","6,484","7,041","6,802","7,025","6,714","7,139","7,254","6,733","6,636","6,680","6,151","6,593","5,492","5,227","5,345","3,763","4,239","4,479","4,301","4,169","3,388","3,132","2,972","2,941","3,139","2,486","2,190","1,959","1,802","1,670","1,482","1,420","1,227","1,021","1,010",803,847,796,716,673,521,477,426,422,311,248,210,162,127,85,78,70,48,32,30,10,22
서울특별시 강남구 (1168000000),"560,062","560,062","4,216","4,122","4,102","4,043","3,715","3,576","4,260","4,133","4,171","5,031","5,913","6,194","7,176","7,529","8,161","8,656","9,121","9,266","9,413","8,362","7,907","7,656","7,569","7,794","8,242","8,896","9,817","11,083","12,073","12,309","12,441","11,778","10,138","9,960","9,210","9,056","9,283","9,084","9,424","9,940","9,976","10,015","9,993","9,672","9,165","10,127","9,962","10,249","9,425","10,128","10,042","9,248","8,803","8,750","7,978","8,562","6,983","6,519","6,825","4,693","5,354","5,517","5,237","5,154","4,205","3,812","3,605","3,375","3,572","2,928","2,605","2,348","2,133","1,948","1,761","1,620","1,434","1,259","1,207","1,000","1,035","1,033",886,815,673,621,543,538,456,342,268,197,185,134,97,70,50,29,32,19,30
서울특별시 송파구 (1171000000),"677,949","677,949","5,915","5,714","6,007","5,988","5,585","5,608","6,129","6,253","6,443","7,348","8,124","7,809","8,272","8,774","9,104","9,294","9,499","9,535","9,738","9,230","9,064","9,023","9,117","9,213","9,779","10,352","11,106","12,715","13,609","14,042","14,005","13,278","11,427","11,804","11,042","11,423","12,100","12,046","12,262","13,185","12,442","12,707","12,097","11,189","10,929","11,287","10,722","11,235","11,261","12,273","12,627","11,662","11,127","11,122","10,030","10,851","8,948","8,299","8,664","5,853","6,487","6,495","6,037","6,305","4,689","4,267","4,187","3,988","4,598","3,553","3,129","2,981","2,661","2,520","2,273","2,166","1,884","1,647","1,556","1,313","1,260","1,130","1,072",936,771,718,529,592,474,358,285,207,145,139,98,57,56,35,23,13,29
서울특별시 강동구 (1174000000),"485,832","485,832","4,100","4,188","4,422","4,370","3,865","3,699","4,109","4,137","4,213","4,730","5,311","5,226","5,485","5,917","6,224","6,662","6,867","6,929","7,339","6,898","6,649","6,674","6,715","6,674","6,848","7,410","7,810","8,764","9,587","9,727","9,902","9,317","8,254","8,234","7,755","7,891","8,302","8,193","8,356","8,723","8,291","8,347","8,492","7,729","7,611","8,066","7,878","8,350","8,751","9,607","9,796","9,040","8,463","8,453","7,804","8,155","6,786","6,064","6,521","4,467","4,867","4,891","4,700","4,530","3,377","3,119","3,160","3,036","3,348","2,610","2,151","2,200","1,859","1,850","1,645","1,614","1,395","1,251","1,175",947,"1,020",945,830,691,615,529,425,471,346,282,209,152,128,96,70,41,24,24,24,12,26
